wavelength,kabs,ksca,gsca,kext,Av
664.75218,1.3420106,0.0041781532,0.0022358982,1.3461887532,0.000111961644125319
666.07042,1.3374751,0.0041448714,0.0022286424,1.3416199714,0.000111581661510874
667.39127,1.3330796,0.0041133881,0.0022217934,1.3371929881,0.000111213472185562
668.71475,1.3285594,0.0040804058,0.0022145346,1.3326398058,0.000110834786971398
670.04085,1.3240238,0.0040476417,0.0022073347,1.3280714417,0.000110454839096791
671.36958,1.3196722,0.0040167852,0.0022005047,1.3236889852,0.00011009035303651
672.70094,1.3151511,0.0039842876,0.0021932868,1.3191353876,0.000109711633282115
674.03495,1.3108104,0.0039538177,0.0021865795,1.3147642177,0.000109348085921025
675.3716,1.306301,0.0039218476,0.0021793337,1.3102228476,0.000108970383119862
676.7109,1.301968,0.0038917219,0.0021725984,1.3058597219,0.000108607504789661
678.05286,1.2976337,0.0038617311,0.0021658634,1.3014954311,0.000108244529558849
679.39747,1.2931969,0.0038302367,0.0021586945,1.2970271367,0.000107872904416185
680.74476,1.2889284,0.0038006703,0.0021519585,1.2927290703,0.000107515437025702
682.09471,1.2846518,0.0037712076,0.0021452492,1.2884230076,0.000107157304588143
683.44735,1.2802363,0.0037402875,0.0021380881,1.2839765875,0.000106787498716801
684.80266,1.2759722,0.003711205,0.002131366,1.279683405,0.000106430437517108
686.16066,1.271723,0.0036823034,0.0021247239,1.2754053034,0.000106074630586073
687.52136,1.2674617,0.0036535263,0.0021180172,1.2711152263,0.000105717827660481
688.88475,1.263226,0.0036249594,0.0021113769,1.2668509594,0.000105363171352457
690.25085,1.259,0.0035965533,0.0021046919,1.2625965533,0.000105009335160764
691.61966,1.2547784,0.0035682646,0.0020980397,1.2583466646,0.000104655874678294
692.99118,1.2505419,0.0035402106,0.0020913983,1.2540821106,0.000104301194492349
694.36542,1.246334,0.0035123089,0.0020847321,1.2498463089,0.000103948905616519
695.74239,1.2421311,0.003484536,0.0020781195,1.245615636,0.000103597043299652
697.12209,1.2379154,0.0034569673,0.0020714901,1.2413723673,0.000103244133398282
698.50452,1.2337238,0.0034295571,0.0020648607,1.2371533571,0.000102893241060599
699.88969,1.2295405,0.0034022872,0.002058258,1.2329427872,0.000102543050697183
701.27762,1.2256283,0.0033766446,0.0020518117,1.2290049446,0.000102215542886147
702.66829,1.2215772,0.0033496519,0.0020448922,1.2249268519,0.000101876370565399
704.06172,1.2175376,0.003322819,0.0020379506,1.220860419,0.000101538167982643
705.45792,1.2136677,0.003297633,0.002031479,1.216965333,0.000101214216210254
706.85688,1.2096514,0.00327108,0.0020245768,1.21292248,0.000100877974752463
708.25862,1.2056297,0.0032447159,0.002017669,1.2088744159,0.000100541299890871
709.66314,1.2017519,0.0032199748,0.0020112477,1.2049718748,0.000100216728082658
711.07044,1.1977438,0.0031939015,0.0020043644,1.2009377015,9.98812085098779E-05
712.48053,1.1938982,0.0031694404,0.0019979116,1.1970676404,9.95593380421657E-05
713.89342,1.1899047,0.0031437263,0.0019910482,1.1930484263,9.92250626163326E-05
715.30911,1.1860627,0.0031195552,0.0019846703,1.1891822552,9.89035156773934E-05
716.72761,1.1820776,0.0030940601,0.0019778076,1.1851716601,9.85699570881915E-05
718.14892,1.178253,0.0030702076,0.0019713852,1.1813232076,9.82498837937044E-05
719.57305,1.1744289,0.0030464928,0.0019650211,1.1774753928,9.79298635363121E-05
721.00001,1.1706115,0.0030228853,0.0019586675,1.1736343853,9.76104094376387E-05
722.42979,1.1666307,0.0029980193,0.0019518214,1.1696287193,9.72772607984818E-05
723.86241,1.1628228,0.0029747021,0.0019454787,1.1657975021,0.0000969586209526998
725.29787,1.1590171,0.0029515127,0.0019391312,1.1619686127,9.66401747085316E-05
726.73618,1.1552206,0.0029284746,0.0019327971,1.1581490746,9.63225062059098E-05
728.17734,1.1514277,0.0029055503,0.0019264652,1.1543332503,9.60051465776216E-05
729.62136,1.1476393,0.0028827916,0.0019201245,1.1505220916,9.56881749842546E-05
731.06824,1.1438612,0.0028601343,0.0019138474,1.1467213343,9.53720684685689E-05
732.51799,1.1400827,0.0028375969,0.0019075336,1.1429202969,9.50559386571482E-05
733.97062,1.1363065,0.0028152296,0.0019012265,1.1391217296,9.47400142823399E-05
735.42612,1.1325385,0.0027930011,0.0018949623,1.1353315011,9.44247834401107E-05
736.88451,1.128779,0.0027709045,0.0018886675,1.1315499045,9.41102705073973E-05
738.3458,1.1250243,0.0027489194,0.0018823993,1.1277732194,9.37961660609485E-05
739.80998,1.1212772,0.0027270737,0.0018761217,1.1240042737,9.34827052953701E-05
741.27707,1.1175275,0.0027053423,0.0018698787,1.1202328423,9.31690377957374E-05
742.74706,1.1138019,0.0026837425,0.0018636465,1.1164856425,9.2857385622536E-05
744.21997,1.1102122,0.0026635851,0.0018578555,1.1128757851,9.25571561275256E-05
745.6958,1.1064794,0.0026422343,0.0018515605,1.1091216343,9.22449258441695E-05
747.17456,1.1027552,0.002621015,0.0018453542,1.105376215,9.19334217539965E-05
748.65625,1.0991784,0.0026011996,0.0018396142,1.1017795996,9.16342935875241E-05
750.14088,1.0954776,0.0025802209,0.0018333937,1.0980578209,9.13247556706963E-05
751.62845,1.091915,0.0025593683,0.0018269695,1.0944743683,9.10267222457494E-05
753.11897,1.088483,0.002539871,0.0018210366,1.091022871,9.0739663457386E-05
754.61245,1.084926,0.0025192581,0.0018146817,1.0874452581,9.04421157164947E-05
756.10889,1.0815093,0.0024999819,0.0018087349,1.0840092819,9.01563478079358E-05
757.6083,1.0779507,0.002479653,0.0018023966,1.080430353,8.98586906161794E-05
759.11068,1.0745588,0.00246058,0.0017964968,1.07701938,8.95750022075225E-05
760.61604,1.0711553,0.0024416418,0.0017906049,1.0735969418,8.92903602456294E-05
762.12438,1.0676165,0.0024216275,0.0017842809,1.0700381275,8.89943759720886E-05
763.63572,1.0642183,0.0024029293,0.0017783702,1.0666212293,8.87101947683967E-05
765.15005,1.0608457,0.0023843447,0.001772522,1.0632300447,8.84281521481134E-05
766.66739,1.0573207,0.0023646657,0.001766203,1.0596853657,8.81333434982913E-05
768.18774,1.0539385,0.0023463172,0.0017603296,1.0562848172,8.78505220885278E-05
769.7111,1.050562,0.002328036,0.0017544964,1.052890036,8.75681803413588E-05
771.23748,1.0472037,0.002309877,0.0017486676,1.049513577,8.72873624396618E-05
772.76689,1.0438363,0.0022918257,0.001742819,1.0461281257,8.70057966542151E-05
