wavelength,Acoff,Scoff,Av
695.74239,1.2421311,0.003484536,0.000577358501090102
697.12209,1.2379154,0.0034569673,0.000575398989543338
698.50452,1.2337238,0.0034295571,0.000573450679986344
699.88969,1.2295405,0.0034022872,0.000571506228376034
701.27762,1.2256283,0.0033766446,0.000569687787530326
702.66829,1.2215772,0.0033496519,0.000567804784179258
704.06172,1.2175376,0.003322819,0.000565927126176006
705.45792,1.2136677,0.003297633,0.000564128346914003
706.85688,1.2096514,0.00327108,0.000562261519050239
708.25862,1.2056297,0.0032447159,0.000560392181197065
709.66314,1.2017519,0.0032199748,0.000558589729913519
711.07044,1.1977438,0.0031939015,0.000556726713515154
712.48053,1.1938982,0.0031694404,0.000554939229205493
713.89342,1.1899047,0.0031437263,0.00055308299907479
715.30911,1.1860627,0.0031195552,0.000551297188091402
716.72761,1.1820776,0.0030940601,0.000549444862388669
718.14892,1.178253,0.0030702076,0.000547667139148932
719.57305,1.1744289,0.0030464928,0.000545889648315623
721.00001,1.1706115,0.0030228853,0.000544115271728432
722.42979,1.1666307,0.0029980193,0.000542264944720969
723.86241,1.1628228,0.0029747021,0.000540494983855888
725.29787,1.1590171,0.0029515127,0.000538726045579084
726.73618,1.1552206,0.0029284746,0.000536961383580532
728.17734,1.1514277,0.0029055503,0.000535198394908254
729.62136,1.1476393,0.0028827916,0.000533437497893817
731.06824,1.1438612,0.0028601343,0.000531681388451771
732.51799,1.1400827,0.0028375969,0.000529925093084584
733.97062,1.1363065,0.0028152296,0.00052816986678696
735.42612,1.1325385,0.0027930011,0.000526418451954735
736.88451,1.128779,0.0027709045,0.000524670988031766
738.3458,1.1250243,0.0027489194,0.000522925755210494
739.80998,1.1212772,0.0027270737,0.000521184054966909
741.27707,1.1175275,0.0027053423,0.000519441146209904
742.74706,1.1138019,0.0026837425,0.000517709439442671
744.21997,1.1102122,0.0026635851,0.000516040900742236
745.6958,1.1064794,0.0026422343,0.000514305847322457
747.17456,1.1027552,0.002621015,0.000512574791293219
748.65625,1.0991784,0.0026011996,0.000510912248678595
750.14088,1.0954776,0.0025802209,0.00050919206927013
751.62845,1.091915,0.0025593683,0.000507536126998027
753.11897,1.088483,0.002539871,0.0005059408892846
754.61245,1.084926,0.0025192581,0.000504287549964477
756.10889,1.0815093,0.0024999819,0.000502699423887709
757.6083,1.0779507,0.002479653,0.00050104534086702
759.11068,1.0745588,0.00246058,0.00049946874214902
760.61604,1.0711553,0.0024416418,0.000497886751601919
762.12438,1.0676165,0.0024216275,0.000496241871875731
763.63572,1.0642183,0.0024029293,0.000494662344836754
765.15005,1.0608457,0.0023843447,0.000493094717006828
